University,Location Name,Current Location,Current College,Original
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Other,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Electrical and Electronics,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Other Subject,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University Kakinada (N03908),Jawaharlal Nehru Technological University Kakinada,Texas Tech University,Engineering - Computer Science,India
Kakatiya Institute of Technology and Science,Kakatiya Institute of Technology and Science,Texas Tech University,Civil Engineering,India
Kakatiya Institute of Technology and Science (N04768),Kakatiya Institute of Technology and Science,Texas Tech University,Engineering - Other,India
Kakatiya Institute of Technology and Science (N04768),Kakatiya Institute of Technology and Science,Texas Tech University,Engineering - Computer Science,India
Kakatiya University,Kakatiya University,Texas Tech University,Electronics & Communication Engineering,India
Kalasalingam Acad Rsrch & HE (N05122),Kalasalingam Acad Rsrch & HE,Texas Tech University,Engineering - Computer Science,India
Kalasalingam University,Kalasalingam Acad Rsrch & HE,Texas Tech University,Computer Science & Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Electronics & Communication Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Electronics & Communication Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Electronics & Communication Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Computer Science & Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Computer Science & Engineering,India
Koneru Lakshmaiah Education Foundation,Koneru Lakshmaiah Education Foundation,Texas Tech University,Electronics & Communication Engineering,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Other Subject,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Data and Information Sciences,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Other Subject,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Education - Other,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Computer Science,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Other Subject,India
Koneru Lakshmaiah Education Foundation (K L University) (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
Koneru Lakshmaiah University (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Data and Information Sciences,India
Koneru Lakshmaiah University (N04019),Koneru Lakshmaiah Education Foundation,Texas Tech University,Engineering - Other,India
L.D. College Of Engineering (),L.D. College Of Engineering,Texas Tech University,Engineering - Other,India
Lakireddy Bali Reddy College of Engineering (N05277),Lakireddy Bali Reddy College of Engineering,Texas Tech University,Engineering - Other,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University,Lovely Professional University,Texas Tech University,Computer Science & Engineering,India
Lovely Professional University (N03841),Lovely Professional University,Texas Tech University,Engineering - Computer Science,India
Lovely Professional University (N03841),Lovely Professional University,Texas Tech University,Engineering - Computer Science,India
Lovely Professional University (N03841),Lovely Professional University,Texas Tech University,Engineering - Computer Science,India
Lovely Professional University (N03841),Lovely Professional University,Texas Tech University,Engineering - Computer Science,India
Malla Reddy Engineering College (N05286),Malla Reddy Engineering College,Texas Tech University,Engineering - Computer Science,India
Medi-Caps University (N04924),Medi-Caps University,Texas Tech University,Other Subject,India
Nagarjuna college of engineering and technology,Nagarjuna college of engineering and technology,Texas Tech University,Computer Science & Engineering,India
Nagarjuna college of engineering and technology,Nagarjuna college of engineering and technology,Texas Tech University,Computer Science & Engineering,India
Narasaraopeta Engineering College (N05296),Narasaraopeta Engineering College,Texas Tech University,Engineering - Computer Science,India
National Inst Of Info Tech (N01464),National Inst Of Info Tech,Texas Tech University,Engineering - Computer Science,India
Osmania University,Osmania University,Texas Tech University,Electronics & Communication Engineering,India
Osmania University,Osmania University,Texas Tech University,Computer Science & Engineering,India
Osmania University (N01609),Osmania University,Texas Tech University,Engineering - Computer Science,India
Osmania University (N01609),Osmania University,Texas Tech University,Mathematical Sciences,India
Osmania University (N01609),Osmania University,Texas Tech University,Other Subject,India
Osmania University (N01609),Osmania University,Texas Tech University,Engineering - Other,India
Osmania University (N01609),Osmania University,Texas Tech University,Other Subject,India
Osmania University (N01609),Osmania University,Texas Tech University,Mathematical Sciences,India
R.V.R & J.C COLLEGE OF ENGINEERING,RVR & JC College of Engineering,Texas Tech University,Computer Science & Engineering,India
R.V.R & J.C College of Engineering,RVR & JC College of Engineering,Texas Tech University,Information Technology,India
Rajiv Gandhi University of Knowledge Technologies (N05268),Rajiv Gandhi University of Knowledge Technologies,Texas Tech University,Engineering - Computer Science,India
Rashtrasant Tukadoji Maharaj Nagpur University,Rashtrasant Tukadoji Maharaj Nagpur University,Texas Tech University,Electronics & Telecommunication Engineering,India
RVR & JC College of Engineering,RVR & JC College of Engineering,Texas Tech University,Computer Science & Engineering,India
RVR & JC College of Engineering,RVR & JC College of Engineering,Texas Tech University,Computer Science & Engineering,India
RVR & JC College of Engineering,RVR & JC College of Engineering,Texas Tech University,Electronics & Communication Engineering,India
RVR & JC College of Engineering (N05256),RVR & JC College of Engineering,Texas Tech University,Engineering - Other,India
RVR & JC College of Engineering (N05256),RVR & JC College of Engineering,Texas Tech University,Engineering - Computer Science,India
RVR & JC College of Engineering (N05256),RVR & JC College of Engineering,Texas Tech University,Engineering - Computer Science,India
RVR & JC College of Engineering (N05256),RVR & JC College of Engineering,Texas Tech University,Engineering - Computer Science,India
S.R.M Institute of Science and Technology (N05245),S.R.M Institute of Science and Technology,Texas Tech University,Engineering - Electrical and Electronics,India
SASTRA University,SASTRA University,Texas Tech University,Civil Engineering,India
SASTRA University,SASTRA University,Texas Tech University,Electronics & Communication Engineering,India
SASTRA University (N01944),SASTRA University,Texas Tech University,Engineering - Computer Science,India
Sathyabama Inst of Sci & Tech (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama Inst of Sci & Tech (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama Inst of Sci & Tech (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama Institute of Science and Technology,Sathyabama Inst of Sci & Tech,Texas Tech University,Electronics & Communication Engineering,India
Sathyabama Institute of Science and Technology (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama Institute of Science and Technology (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama Institute of Science and Technology (N05087),Sathyabama Inst of Sci & Tech,Texas Tech University,Engineering - Computer Science,India
Sathyabama University,Sathyabama University,Texas Tech University,Electronics & Communication Engineering,India
Sathyabama University (N01865),Sathyabama University,Texas Tech University,Engineering - Computer Science,India
Savitribai Phule Pune University (N02469),Savitribai Phule Pune University,Texas Tech University,Engineering - Computer Science,India
Shivaji University Kolhapur - Dr. JJ Magdum Trust's,Shivaji University Kolhapur - Dr. JJ Magdum Trust's,Texas Tech University,Computer Science & Engineering,India
Sikkim Manipal University (N04183),Sikkim Manipal University,Texas Tech University,Engineering - Computer Science,India
Sreenidhi Institute of Science and Technology,Sreenidhi Institute of Science and Technology,Texas Tech University,Information Technology,India
